"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"
"AT3G58650"	1.16639561381887	3.92788315168609	5.89847290826465	7.87340004252671e-06	0.000861953713377102	3.79305858247866
"AT1G07400"	-4.67812079005207	3.12973397959888	-5.89675363546563	7.90400029815284e-06	0.000861953713377102	3.72326141889819
"AT5G54940"	-0.969177311267369	7.4432364693815	-5.89515340329948	7.93259110033956e-06	0.000861953713377102	3.65111460631867
"AT3G26450"	-1.27589930668123	6.60201537239111	-5.88999436662235	8.02548799190043e-06	0.000867575830098774	3.64582904427788
"AT3G06130"	0.673248885153651	5.48786053245038	5.87410052345431	8.31873648218515e-06	0.000894688597165628	3.64710605340733
"AT2G32560"	-1.20107793070819	5.52232336535669	-5.8704422526038	8.38777053134173e-06	0.000895751358345962	3.63890459067918
"AT3G19490"	0.551760024011418	5.28143738498711	5.86693405313691	8.4545228275588e-06	0.000895751358345962	3.63439468719242
"AT5G11330"	-0.741120482253622	4.29486299156904	-5.86685167495762	8.45609678893958e-06	0.000895751358345962	3.70674639769047
"AT3G08690"	-0.624991256952315	5.12911102658719	-5.86246142161801	8.54041418443985e-06	0.00090015965503996	3.64006105899236
"AT5G59540"	-1.34347153561573	5.61379527515216	-5.85526612310409	8.68046731646525e-06	0.000910277879516617	3.60293948753886
"AT4G27940"	0.646144698236773	3.86141689884562	5.85311578663841	8.72277664432432e-06	0.000910277879516617	3.704358417442
"AT1G52700"	3.41336627933642	1.10591503416031	5.84410645953803	8.9023457259166e-06	0.000924440630060699	3.2012094499666
"AT5G51600"	1.31375097196856	4.34491637828096	5.83990276410854	8.98742006967316e-06	0.000925051803783627	3.63824833090788
"AT5G22020"	-0.951068038802873	6.34467105895133	-5.83948121258804	8.99599714305709e-06	0.000925051803783627	3.5336239783761
"AT5G12030"	-6.63932294135881	2.99340910293669	-5.82598532851572	9.27505773631564e-06	0.000949117558648222	3.13630873666653
"AT4G26660"	1.37717807565771	4.47288263715769	5.8225934068571	9.34657513013331e-06	0.000949947957782393	3.5944912740085
"AT5G64310"	1.24949167846917	5.26157524072953	5.81741629436711	9.45682085306723e-06	0.000949947957782393	3.54000724873064
"AT1G53140"	1.20791862574735	4.00464930838212	5.81735246712596	9.45818830488887e-06	0.000949947957782393	3.613342065309
"AT2G29550"	0.960047368999512	7.61298972781546	5.81710796647201	9.46342842193086e-06	0.000949947957782393	3.47655198126273
"AT1G12160"	0.70618807636616	4.95681683546944	5.79803898144225	9.88138895052089e-06	0.000982632087688851	3.51372906391802
"AT4G14960"	0.471067423250695	9.35650841390454	5.79790605058801	9.88436785184739e-06	0.000982632087688851	3.44384199769306
"AT2G30550"	-1.08049943581875	4.6572051867766	-5.795924924292	9.92887261279532e-06	0.000982632087688851	3.5280430951631
"AT5G42580"	-2.3301526647706	3.75467221498418	-5.79260006703368	1.00040241229729e-05	0.000983251213903475	3.59074582052408
"AT3G54450"	3.19047166843345	-0.488951208262319	5.79152640001721	1.00284160810838e-05	0.000983251213903475	1.90447306364091
"AT3G03890"	-0.713655913726534	4.78291546465966	-5.78502165921552	1.01774980165707e-05	0.000993248417543099	3.49065341503482
"AT1G48320"	-0.758007587052457	4.45149094381501	-5.77882365999421	1.03216565146668e-05	0.00100046652776517	3.50005887664738
"AT3G53830"	-1.99198288768151	3.77638453900469	-5.77776955464621	1.03463806002281e-05	0.00100046652776517	3.55193121204012
"AT1G02730"	1.31186529358202	6.03715093174967	5.7714304856935	1.04963450518341e-05	0.00101033312188431	3.39103222748615
"AT5G13980"	0.491753268027098	7.17665886669217	5.75726091795151	1.08396382472602e-05	0.00103671002217969	3.34089203397524
"AT3G60740"	0.595553721403723	5.19595815885231	5.75346206388035	1.09336098462562e-05	0.00103671002217969	3.38467700946066
